a,b,c,d,e,f,g,h,i,j,k,l,m
80182,185878,94958,33.07536903,-96.73621272,33.092942,-96.744552,186021,30630,33.02528575,-96.67929109,33.034952,-96.694361
52291,102693,34368,42.41986566,-83.1484588,42.420664,-83.157255,102654,30620,42.40302199,-83.18962232,42.405623,-83.182049
109829,136032,14062469,40.73912414,-73.93789053,40.781545,-73.94959,123732,30617,40.43561109,-74.37464199,40.443032,-74.379266
173696,191242,5386532,29.78664172,-95.42552131,29.715277,-95.491289,194620,30614,30.38965703,-95.61268483,30.401417,-95.633817
215438,136032,296822772,37.40892015,-91.24468116,40.781545,-73.94959,4288,30599,32.82470147,-109.7334447,32.81126,-109.72214
204230,136032,196467878,37.24400983,-82.62240258,40.781545,-73.94959,81896,30588,38.21666881,-83.38960567,38.185233,-83.435441
208300,136032,216140262,37.41095206,-83.34791493,40.781545,-73.94959,217268,30570,44.6674564,-90.18573667,44.662253,-90.171027
171244,180800,485356,35.93143659,-84.00974931,36.000455,-83.937753,178987,30556,36.01921191,-84.26120716,35.999748,-84.274058
22334,139922,35838,40.6332111,-74.12742002,40.632907,-74.122714,140060,30553,40.62775439,-74.15966791,40.629075,-74.156021
152597,165279,34205,40.52746216,-80.20292125,40.51801,-80.208796,166031,30520,40.59892909,-80.24595574,40.606179,-80.274482
206244,78266,654234,37.72354367,-97.35892625,37.654824,-97.323814,76826,30516,37.14611647,-97.01427642,37.07199,-97.035649
188861,136032,55006321,40.49580104,-74.43442252,40.781545,-73.94959,129857,30480,42.27188438,-73.80924974,42.256212,-73.793623
214692,57711,45317,19.62459361,-155.9605231,19.613244,-155.961242,57715,30462,20.05133033,-155.6813775,20.017636,-155.630911
184883,114550,2374029,38.64772448,-90.33895352,38.576267,-90.236495,112441,30442,38.96377601,-90.94988537,38.969203,-90.985449
216111,136032,298334290,37.41635136,-91.29736481,40.781545,-73.94959,96603,30433,45.81910944,-88.04111103,45.825881,-88.044662
185517,176589,1023517,34.82417576,-82.35359468,34.86094,-82.348596,176060,30426,35.08532909,-81.65400759,35.061253,-81.628912
94156,206961,55056,45.61847175,-122.5099019,45.61267,-122.522202,206979,30395,45.63982318,-122.5550176,45.651928,-122.540487
150956,136032,24668453,40.62890611,-74.1219493,40.781545,-73.94959,121039,30376,39.99251182,-74.78429686,39.995804,-74.786291
194858,136032,125456528,39.75881433,-79.54172196,40.781545,-73.94959,170816,30367,40.62402588,-77.58108174,40.602296,-77.566525
160104,219631,3178840,18.30305119,-66.33503304,18.449196,-66.040989,220295,30366,18.04027815,-65.88984726,18.049866,-65.873742
38614,28196,938339,37.74732363,-122.4425763,37.784372,-122.412886,29354,30364,37.65939347,-122.4204701,37.659765,-122.407125
94725,34616,1416854,39.74344687,-104.9467311,39.694929,-105.020282,34429,30360,39.93403067,-105.0294906,39.925395,-105.020357
81360,15244,10677702,33.97569949,-118.1832345,34.066842,-118.301495,21417,30352,33.87233482,-117.7823757,33.867376,-117.783308
81297,185878,184067,33.06235136,-96.73926705,33.092942,-96.744552,185585,30332,33.13142435,-96.78575175,33.144566,-96.795884
100013,5388,2589592,33.4758557,-112.0063022,33.47851,-112.172982,6785,30315,33.28039859,-111.7022253,33.265696,-111.706523
23025,46841,246242,25.76914138,-80.23403317,25.768037,-80.212837,46615,30311,25.80410729,-80.22372787,25.805877,-80.219613
132568,60041,6879796,41.84747374,-87.8317118,41.997296,-87.65714,65380,30299,41.84612649,-88.31064396,41.837691,-88.317674
193377,115920,1046501,41.11966101,-96.19827218,41.258042,-95.970613,115802,30299,41.43840846,-96.49317072,41.447144,-96.49404
1097,136103,121207,40.78677416,-73.97452274,40.782963,-73.972877,136273,30292,40.8034521,-73.9664723,40.805795,-73.963659
35419,94743,967614,42.35875096,-71.08512995,42.336346,-71.081034,94931,30217,42.28504425,-71.12860585,42.291967,-71.120212
166330,41088,421605,28.16786824,-80.66710232,28.067995,-80.626981,40999,30210,28.46999655,-80.79697925,28.467791,-80.791518
83921,40333,2054368,38.91519156,-77.03920769,38.929186,-77.039296,202290,30206,38.82785212,-77.20336865,38.830355,-77.214382
200287,161936,907575,36.09687155,-95.84018794,36.116829,-95.829168,159389,30206,35.90450499,-94.97668576,35.919447,-94.961786
170087,69018,313200,42.3364972,-89.04563421,42.28385,-89.085835,59558,30122,42.2584302,-88.85364019,42.244364,-88.850357
