a,b,c,d,e,f,g,h,pop,j,k,l,m
128,127046,11656187,24.875,67.09043044,24.875,67.125,126525,1619575,25.125,67.125,25.125,67.125
129,89021,5609047,40.625,-73.95110878,40.625,-73.875,88354,3751878,40.875,-73.875,40.875,-73.875
130,89021,9360925,40.72520051,-73.92060423,40.625,-73.875,88353,1568639,40.875,-74.125,40.875,-74.125
131,118570,30096534,28.61602486,77.23940764,28.625,77.125,119161,1130445,28.375,76.875,28.375,76.875
132,118570,31226979,28.60729954,77.22621575,28.625,77.125,117980,1513959,28.875,77.625,28.875,77.625
133,124574,3751069,25.875,-100.125,25.875,-100.125,124573,1549399,25.875,-100.375,25.875,-100.375
134,149042,10491520,13.125,77.53365635,13.125,77.625,149395,2022777,12.875,77.625,12.875,77.625
135,112151,3170237,31.125,29.875,31.125,29.875,112152,1815140,31.125,30.125,31.125,30.125
136,101381,2509605,35.625,51.375,35.625,51.375,101382,2244021,35.625,51.625,35.625,51.625
137,160675,3132533,5.375,-4.125,5.375,-4.125,160676,1791176,5.375,-3.875,5.375,-3.875
139,204770,2422584,-26.125,28.125,-26.125,28.125,204769,2256826,-26.125,27.875,-26.125,27.875
140,125509,2803143,25.625,85.125,25.625,85.125,125510,1897222,25.625,85.375,25.625,85.375
141,177333,35060910,-6.286089715,106.7955091,-6.125,106.875,178065,1094012,-6.625,107.125,-6.625,107.125
142,131808,23518505,22.57382506,88.35841808,22.625,88.375,132325,1889115,22.375,87.875,22.375,87.875
144,101639,30735007,35.66053446,139.654934,35.625,139.625,101069,1027157,35.875,140.125,35.875,140.125
145,129247,29241938,23.81302262,90.40145197,23.875,90.375,128724,1028888,24.125,90.125,24.125,90.125
146,114468,3255007,30.375,120.125,30.375,120.125,114469,1585690,30.375,120.375,30.375,120.375
147,130372,2495685,23.375,116.625,23.375,116.625,130371,2063533,23.375,116.375,23.375,116.375
148,111859,2937395,31.375,120.625,31.375,120.625,111860,1751529,31.375,120.875,31.375,120.875
149,112517,28759701,31.21558837,121.4104587,31.125,121.375,111859,4688924,31.375,120.7183865,31.375,120.625
152,196158,2576168,-19.875,-43.875,-19.875,-43.875,196157,1883924,-19.875,-44.125,-19.875,-44.125
153,129247,30270826,23.82362655,90.39205553,23.875,90.375,129249,1342761,23.875,90.875,23.875,90.875
154,129247,31613587,23.8258086,90.4125682,23.875,90.375,129760,1340577,23.625,90.875,23.625,90.875
155,118570,32740938,28.61967815,77.24465576,28.625,77.125,117977,1012328,28.875,76.875,28.875,76.875
156,101381,4753626,35.625,51.49301628,35.625,51.375,101380,1778551,35.625,51.125,35.625,51.125
157,181340,8998775,-8.875,13.29444006,-8.875,13.375,181697,1853822,-9.125,13.375,-9.125,13.375
159,135066,3391369,21.125,105.875,21.125,105.875,135065,1353740,21.125,105.625,21.125,105.625
