b.censusTracts,=,,,,
,-80.271897,26.015887,6417],,
,-80.324764,26.016415,5517],,
,-80.35257,26.017122,6734],,
,-80.206022,26.017352,6647],,
,-80.236413,26.017579,3881],,
,-80.305028,26.017727,5860],,
,-80.287604,26.017905,3875],,
,-81.658121,26.017908,3022],,
,-80.40092,26.018704,8755],,
,-80.385477,26.019737,4119],,
,-80.2228,26.020667,5160],,
,-80.337067,26.021044,6420],,
,-80.128882,26.021165,4007],,
,-80.163063,26.021326,4237],,
,-80.184754,26.021699,4980],,
,-80.36774,26.021946,10270],,
,-80.154914,26.02541,4852],,
,-80.141834,26.025716,6706],,
,-80.292986,26.025799,5276],,
,-80.267499,26.026793,6392],,
,-80.230403,26.027952,7145],,
,-80.200957,26.028788,3894],,
,-80.180502,26.029535,3942],,
,-97.551174,26.034047,3780],,
,-81.689735,26.034391,2546],,
,-80.238719,26.034576,2687],,
,-81.596382,26.035735,7291],,
,-80.304065,26.036438,4978],,
,-80.286967,26.036585,5452],,
,-80.117148,26.037192,1896],,
,-80.132501,26.038719,1533],,
,-80.22341,26.03883,6537],,
,-80.205574,26.039678,3473],,
,-80.193945,26.039723,2521],,
,-80.180156,26.040803,6488],,
,-80.242062,26.041943,6681],,
,-80.139167,26.04232,4931],,
,-80.152443,26.045039,6786],,
,-80.14273,26.046635,4237],,
,-80.362577,26.047725,5154],,
,-81.720668,26.047847,4062],,
,-80.405905,26.048572,5521],,
,-80.339152,26.049449,5287],,
,-97.63108,26.050273,9119],,
,-80.179793,26.052387,2466],,
,-80.219959,26.05322,1197],,
,-80.305339,26.053447,6129],,
,-81.693068,26.053817,2225],,
,-80.285711,26.054274,3240],,
,-80.274847,26.054553,5139],,
,-80.264446,26.055771,3127],,
,-80.240257,26.056837,4421],,
,-80.200654,26.05764,6485],,
,-80.178918,26.059428,5647],,
,-80.153505,26.060928,1172],,
,-97.512509,26.06284,6498],,
,-80.180095,26.064969,2734],,
,-97.687183,26.065745,5824],,
,-80.238608,26.069356,4672],,
,-80.377213,26.069666,10473],,
,-97.214359,26.072502,4696],,
,-97.4764,26.073701,4888],,
,-80.223752,26.076435,7535],,
,-80.258494,26.078425,5863],,
,-97.308763,26.080434,5311],,
,-80.336456,26.080734,7906],,
,-80.272337,26.081407,4984],,
,-97.832307,26.082507,2542],,
,-80.244768,26.085968,5024],,
,-81.715688,26.087361,10208],,
,-80.193775,26.088769,1405],,
,-80.166874,26.088999,4714],,
,-80.290868,26.092377,7410],,
,-80.404282,26.094673,6933],,
,-80.257945,26.09539,3228],,
,-80.304647,26.096757,5379],,
,-80.273689,26.097086,6165],,
,-80.142251,26.097234,1968],,
,-80.208413,26.097763,7362],,
,-97.953726,26.098076,9129],,
,-98.247139,26.098899,5612],,
,-80.153484,26.099808,4493],,
,-80.193158,26.100039,6637],,
,-80.17831,26.100144,4659],,
,-80.109422,26.101206,2699],,
,-80.381976,26.101676,7040],,
,-97.176498,26.102405,3729],,
,-80.137911,26.10259,1215],,
,-80.236297,26.103548,6166],,
,-81.729233,26.103612,3451],,
